V_rms,I_rms,Active_Power,Apparent_Power,Reactive_Power,Power_Factor,I_Fund,I_3rd,I_5th,I_7th,THD
229.84087,7.2053328,1590.6622,1656.08,460.86264,0.96049845,4.994285,1.0054247,0.008493861,0.001191912,0.20177782
229.91304,7.2108545,1593.5537,1657.8695,457.2944,0.9612057,4.9997478,0.9979689,0.0055537913,0.0040341173,0.200085
229.81363,7.2157426,1593.6844,1658.276,458.31122,0.96104896,5.003246,0.99813455,0.007364754,0.0022910233,0.19997057
229.7258,7.211271,1591.6644,1656.615,459.32318,0.9607932,4.9994545,1.0006593,0.00018984643,0.007252549,0.20068792
229.68579,7.2123404,1592.0127,1656.5721,457.9597,0.9610282,5.001021,0.9967785,0.0039068623,0.0023394814,0.1998311
229.6808,7.203343,1589.3148,1654.4696,459.72583,0.960619,4.9941006,0.9985401,0.0041393465,0.0049610916,0.20054068
229.79425,7.2152143,1594.0065,1658.0148,456.24146,0.9613946,5.0030613,0.99733293,0.0048281755,0.003990234,0.199787
229.71095,7.2101116,1591.162,1656.2416,459.71698,0.9607065,4.998819,0.9996077,0.001815485,0.003776865,0.20051861
229.72885,7.2187486,1593.6464,1658.3549,458.72876,0.9609803,5.0055065,0.9974231,0.010564089,0.0021035897,0.19978742
229.66066,7.214453,1592.4003,1656.8761,457.71133,0.9610859,5.001673,1.0012147,0.0043772124,0.0019376043,0.20067628
229.75029,7.215125,1593.2316,1657.6771,457.71887,0.961123,5.0026326,0.99878544,0.0058399527,0.004481552,0.20016275
230.02559,7.212889,1593.8508,1659.149,460.8849,0.9606436,4.999862,1.0047041,0.007412317,0.003946451,0.20142728
229.67516,7.21102,1591.3678,1656.1921,458.82538,0.9608594,4.999599,0.99922454,0.004916906,0.0007953917,0.20036045
229.97957,7.2179856,1595.0392,1659.9893,459.79803,0.9608732,5.0024395,1.0102786,0.0037771827,0.0074939835,0.20241213
229.80707,7.213837,1592.4977,1657.7908,460.67496,0.9606144,5.000065,1.0066929,0.0069951373,0.011478032,0.20189591
229.79181,7.210903,1591.6863,1657.0065,460.65704,0.96057945,4.9980288,1.0065819,0.0027594469,0.006395117,0.2018982
229.86858,7.2158337,1593.9045,1658.6934,459.05573,0.9609398,5.0025525,1.0018291,0.0017292618,0.004812351,0.20075515
229.80037,7.2024264,1590.3301,1655.1202,458.5557,0.9608547,4.9942145,0.99514085,0.004810588,0.00428552,0.19976023
229.64384,7.216212,1592.1206,1657.1586,459.70276,0.9607533,5.002719,1.0022653,0.0022737042,0.0013432156,0.20086321
229.88138,7.214269,1593.8157,1658.4261,458.398,0.9610411,5.001886,0.99958664,0.0046091354,0.00816951,0.20032242
229.79977,7.213872,1592.9064,1657.7462,459.09866,0.9608868,5.001497,1.0002068,0.0036515128,0.0023642478,0.20043983
229.76012,7.2119174,1591.8832,1657.011,459.99274,0.9606956,4.9994392,1.0033131,0.004340745,0.0023539749,0.20117237
229.96617,7.212148,1593.5325,1658.55,459.82874,0.96079856,4.9994445,1.0042467,0.004513499,0.00716135,0.2013276
229.8803,7.2170563,1594.9675,1659.0591,456.67883,0.96136874,5.0035763,1.0011739,0.009183456,0.0059474534,0.20057298
229.80872,7.2031274,1590.6863,1655.3414,458.11813,0.96094155,4.9945526,0.9958597,0.0016170748,0.005370371,0.19991738
229.86923,7.2170043,1594.0768,1658.9673,459.44702,0.960885,5.002937,1.0040416,0.0029229126,0.0055654747,0.20119894
229.80699,7.2119107,1592.4387,1657.3475,459.28165,0.96083575,4.999747,1.0018444,0.002686647,0.007962704,0.2008501
229.83847,7.2119656,1592.878,1657.5872,458.62262,0.9609619,5.0002475,0.99904484,0.015142668,0.004803899,0.2003649
229.71144,7.2170987,1592.6074,1657.8501,460.50906,0.9606462,5.002538,1.006497,0.005348641,0.006836506,0.20167877
229.94826,7.212051,1593.1158,1658.3984,460.72482,0.9606351,4.999075,1.0053496,0.009334798,0.008635509,0.20164317
229.76363,7.21294,1592.7949,1657.2712,457.7692,0.96109486,5.0007715,1.0000128,0.007277365,0.0031378923,0.20052968
229.83371,7.202612,1591.5217,1655.4031,455.43158,0.9614104,4.9951987,0.99086505,0.0017876023,0.010689486,0.19886883
229.73956,7.2071037,1590.7825,1655.7568,459.2839,0.9607585,4.996655,0.9997676,0.003416036,0.002560855,0.2005981
